specObjID,sigma_balmer,sigma_balmer_err,sigma_forbidden,sigma_forbidden_err,v_off_balmer,v_off_balmer_err,v_off_forbidden,v_off_forbidden_err,oii_3726_cont,oii_3726_cont_err,oii_3726_reqw,oii_3726_reqw_err,oii_3726_eqw,oii_3726_eqw_err,oii_3726_flux,oii_3726_flux_err,oii_3726_inst_res,oii_3726_chisq,oii_3729_cont,oii_3729_cont_err,oii_3729_reqw,oii_3729_reqw_err,oii_3729_eqw,oii_3729_eqw_err,oii_3729_flux,oii_3729_flux_err,oii_3729_inst_res,oii_3729_chisq,neiii_3869_cont,neiii_3869_cont_err,neiii_3869_reqw,neiii_3869_reqw_err,neiii_3869_eqw,neiii_3869_eqw_err,neiii_3869_flux,neiii_3869_flux_err,neiii_3869_inst_res,neiii_3869_chisq,h_delta_cont,h_delta_cont_err,h_delta_reqw,h_delta_reqw_err,h_delta_eqw,h_delta_eqw_err,h_delta_flux,h_delta_flux_err,h_delta_inst_res,h_delta_chisq,h_gamma_cont,h_gamma_cont_err,h_gamma_reqw,h_gamma_reqw_err,h_gamma_eqw,h_gamma_eqw_err,h_gamma_flux,h_gamma_flux_err,h_gamma_inst_res,h_gamma_chisq,oiii_4363_cont,oiii_4363_cont_err,oiii_4363_reqw,oiii_4363_reqw_err,oiii_4363_eqw,oiii_4363_eqw_err,oiii_4363_flux,oiii_4363_flux_err,oiii_4363_inst_res,oiii_4363_chisq,h_beta_cont,h_beta_cont_err,h_beta_reqw,h_beta_reqw_err,h_beta_eqw,h_beta_eqw_err,h_beta_flux,h_beta_flux_err,h_beta_inst_res,h_beta_chisq,oiii_4959_cont,oiii_4959_cont_err,oiii_4959_reqw,oiii_4959_reqw_err,oiii_4959_eqw,oiii_4959_eqw_err,oiii_4959_flux,oiii_4959_flux_err,oiii_4959_inst_res,oiii_4959_chisq,oiii_5007_cont,oiii_5007_cont_err,oiii_5007_reqw,oiii_5007_reqw_err,oiii_5007_eqw,oiii_5007_eqw_err,oiii_5007_flux,oiii_5007_flux_err,oiii_5007_inst_res,oiii_5007_chisq,hei_5876_cont,hei_5876_cont_err,hei_5876_reqw,hei_5876_reqw_err,hei_5876_eqw,hei_5876_eqw_err,hei_5876_flux,hei_5876_flux_err,hei_5876_inst_res,hei_5876_chisq,oi_6300_cont,oi_6300_cont_err,oi_6300_reqw,oi_6300_reqw_err,oi_6300_eqw,oi_6300_eqw_err,oi_6300_flux,oi_6300_flux_err,oi_6300_inst_res,oi_6300_chisq,nii_6548_cont,nii_6548_cont_err,nii_6548_reqw,nii_6548_reqw_err,nii_6548_eqw,nii_6548_eqw_err,nii_6548_flux,nii_6548_flux_err,nii_6548_inst_res,nii_6548_chisq,h_alpha_cont,h_alpha_cont_err,h_alpha_reqw,h_alpha_reqw_err,h_alpha_eqw,h_alpha_eqw_err,h_alpha_flux,h_alpha_flux_err,h_alpha_inst_res,h_alpha_chisq,nii_6584_cont,nii_6584_cont_err,nii_6584_reqw,nii_6584_reqw_err,nii_6584_eqw,nii_6584_eqw_err,nii_6584_flux,nii_6584_flux_err,nii_6584_inst_res,nii_6584_chisq,sii_6717_cont,sii_6717_cont_err,sii_6717_reqw,sii_6717_reqw_err,sii_6717_eqw,sii_6717_eqw_err,sii_6717_flux,sii_6717_flux_err,sii_6717_inst_res,sii_6717_chisq,sii_6731_cont,sii_6731_cont_err,sii_6731_reqw,sii_6731_reqw_err,sii_6731_eqw,sii_6731_eqw_err,sii_6731_flux,sii_6731_flux_err,sii_6731_inst_res,sii_6731_chisq,ariii7135_cont,ariii7135_cont_err,ariii7135_reqw,ariii7135_reqw_err,ariii7135_eqw,ariii7135_eqw_err,ariii7135_flux,ariii7135_flux_err,ariii7135_inst_res,ariii7135_chisq,oii_sigma,oii_flux,oii_flux_err,oii_voff,oii_chi2,oiii_sigma,oiii_flux,oiii_flux_err,oiii_voff,oiii_chi2,spectofiber
2051478469048559616,500,0,231.8753,47.4482,300,0,0.005227228,0,8.353344,1.693109,-0.2122361,0.726908,-3.159899,0.726908,23.59608,8.713948,70.14935,1.056811,8.359539,1.704876,-0.2122361,0.726908,-3.159899,0.726908,-4.226188,8.077756,70.10818,0.8279967,7.348662,1.239625,-0.6440747,0.7312776,-1.294002,0.7312776,3.339474,3.907103,67.93867,0.8044004,13.13373,1.304354,0.9289861,0.3867042,0.2615552,0.3867042,-1.849837,5.700002,64.71742,1.403569,14.74328,1.203336,-0.3037124,0.359621,0.3358297,0.359621,-4.866755,5.92734,61.84895,0.9248926,15.24542,1.184484,-0.915737,0.4037372,0.7865238,0.4037372,-10.11154,4.248776,61.59563,1.076776,19.20071,0.9195988,1.648303,0.2543066,-0.3703976,0.2543066,6.384816,5.894839,57.06384,0.8541703,19.3097,1.116277,-0.2681528,0.2660511,0.2648157,0.2660511,-5.624355,4.287859,56.36938,1.011183,19.08131,1.091894,0.6396438,0.2721575,-0.5641616,0.2721575,11.17598,4.511708,56.05957,0.8937969,20.09832,0.7354926,0.3483755,0.2015189,0.3868444,0.2015189,-17.80096,5.182746,73.53258,1.018032,19.13477,0.6577685,-0.6391953,0.200909,-0.4692169,0.200909,8.6534,3.703264,66.05421,0.5820334,19.58352,0.8570841,-0.3951075,0.2834115,-0.2554813,0.2834115,3.150113,1.755204,61.7378,0.5525692,19.60137,0.7954608,1.455793,0.2619919,-0.2551415,0.2619919,16.30582,8.695039,61.48698,0.5212843,19.59144,0.7507109,-0.7187041,0.2373656,-0.8633125,0.2373656,9.50147,5.294094,61.16242,0.4979667,18.9244,0.7943694,0.4548154,0.2137669,0.251019,0.2137669,-3.386841,4.160997,59.05262,0.7901081,18.86213,0.8817608,-0.3423882,0.2673062,-0.3372668,0.2673062,14.77208,5.310136,58.84157,1.310208,17.60358,1.034929,0.3828089,0.2220582,0.2234666,0.2220582,-6.941315,5.602352,53.73475,1.443952,369.5603,25.3583,67.23992,-56.45516,0.9336978,119.4658,9.040303,3.858178,1.464367,0.7175124,0.7383419
1040391202844731392,64.53272,61.98626,53.67336,53.17075,-130.6698,53.14938,-22.04959,12.65284,1.484256,0.9342111,-0.3133629,2.563758,-1.131668,2.563758,-2.263592,1.897079,62.90323,0.7673495,1.492611,0.9289558,-0.3133629,2.563758,-1.131668,2.563758,2.7534,1.902998,62.80334,0.3097205,1.469613,0.9375369,-1.385863,2.550717,-2.004184,2.550717,0.01191509,1.558377,60.60061,1.155395,3.021735,1.184793,0.9226292,1.412247,0.1348414,1.412247,0.444822,1.964793,57.06557,0.2016761,3.675224,0.6501513,-0.4241738,0.9367449,1.042551,0.9367449,0.6975986,1.751605,67.20293,0.2903827,3.885775,0.7010559,-0.2769378,1.017952,2.147273,1.017952,-3.043138,1.630548,67.71867,0.8265739,5.366153,0.6079328,1.921824,0.5175527,0.1312424,0.5175527,1.985543,1.392105,59.21247,0.3772964,5.420744,0.5668639,-1.011019,0.55964,-0.0242992,0.55964,3.007815,2.053874,57.8973,0.2823729,5.355778,0.5771567,0.9085501,0.5281526,-0.2889751,0.5281526,0.1554781,1.316455,57.20113,0.3470461,6.486167,0.8700168,0.4184144,0.6346484,0.2943264,0.6346484,-3.422727,2.372317,49.88934,0.5923464,6.509732,1.259254,-3.094237,1.098435,-2.754871,1.098435,53802.59,504766.6,48.78959,0,5.600561,1.340487,-1.535361,1.253867,0.4717423,1.253867,1.402263,3.666519,48.38908,1.829858,4.464428,1.25192,0,-1,0,-1,-11.22113,19.96385,0,0.4387342,0,0,0,-1,0,-1,4.229549,11.05906,0,0,0,0,0,-1,0,-1,0,-0.7302907,0,0,0,0,0,-1,0,-1,0,-0.7302907,0,0,0,0,0,-1,0,-1,0,-0.7302907,0,0,1,-0.2912759,2.051777,-25.56948,0.8360852,1,0.7418834,1.137262,-71.85844,0.356231,0.7302907
1869168996775913472,500,0,1,0,-54.89992,64.18714,276.3394,22.41596,0,0,0,-1,0,-1,0,-0.7881055,0,0,0,0,0,-1,0,-1,0,-0.7881055,0,0,22.50568,14.23776,0.06865497,2.348052,4.069615,2.348052,3.054397,21.85164,75.6095,0.678607,30.60753,7.827215,9.499053,0.8678334,6.116121,0.8678334,-213.1825,29.78428,70.8979,1.003008,26.86926,5.287192,7.05716,0.742006,3.626584,0.742006,-128.9302,22.36842,66.84161,0.8938146,26.98439,5.331108,-0.6777804,1.043401,-0.1294675,1.043401,22.2667,10.55758,66.45844,1.096026,21.74361,3.720603,6.342414,0.5825431,3.120105,0.5825431,-85.90903,15.20792,60.14092,1.545418,23.18332,2.714107,0.4497426,0.5478632,0.3542863,0.5478632,-3.203219,5.012856,59.17163,0.2824849,22.61515,2.736423,-0.4785031,0.528502,-0.7147002,0.528502,-5.838167,4.943818,58.74959,1.944545,15.48868,2.419374,-0.2366983,0.7832766,-0.4313372,0.7832766,9.941792,16.16794,58.75032,1.09878,12.42051,1.19485,-2.996711,0.5486665,-2.724744,0.5486665,24.84025,7.460187,65.61176,1.624752,10.49576,1.25243,0.07904817,0.5802869,0.7570317,0.5802869,-0.2488281,0.8556768,63.0536,1.097409,10.538,1.204418,4.689404,0.5838063,1.850189,0.5838063,-32.19483,8.455828,62.8805,1.164864,10.64404,1.134662,0.6407945,0.5419583,0.7410589,0.5419583,-0.750523,2.580916,62.66132,0.4761627,11.03609,0.8288242,-0.2318515,0.4512186,-0.4732414,0.4512186,-0.4148564,2.333838,61.30175,0.8034122,10.99,0.8601307,-0.4557043,0.440118,-0.6047644,0.440118,3.134946,2.453155,61.11888,1.031681,9.375228,0.8990427,-0.1011896,0.3384525,-0.1484336,0.3384525,1.459208,2.320987,57.515,1.538617,500,0,1.114549,-54.9007,0,1,-6.873067,4.896174,300,2.281622,0.7881055
2329662061124020224,1,0,29.83006,35.59411,-5.919765,19.68536,18.18567,15.93694,0,0,0,-1,0,-1,0,-0.7143649,0,0,0,0,0,-1,0,-1,0,-0.7143649,0,0,4.201185,2.062571,-5.295659,1.928857,-3.66188,1.928857,-1.450354,3.476536,82.29031,0.9073703,9.37903,1.416014,1.023457,0.6038044,-0.1868668,0.6038044,0.2422882,2.326173,75.5543,0.5786569,9.466135,1.11898,-2.397161,0.4958088,-1.418413,0.4958088,3.07701,1.832288,69.64712,1.506551,9.969445,1.269432,-0.5617924,0.5821952,0.8972789,0.5821952,-3.076639,2.130707,69.15119,2.633091,12.31716,0.8901053,1.469449,0.2944743,-0.2687885,0.2944743,0.7976017,1.466033,60.554,1.769588,12.06678,0.8023353,-0.02924072,0.2825042,0.4604541,0.2825042,-0.1959,1.465213,59.53857,0.4466746,11.97847,0.6818658,0.6695777,0.2709433,-0.3176688,0.2709433,0.5396193,1.434597,58.94343,0.6882397,11.61784,0.7335567,-0.4920531,0.2898418,-0.3669208,0.2898418,-0.1684671,1.525836,61.22625,0.3876401,11.31944,0.5611753,-0.1867008,0.2205342,-0.2358357,0.2205342,-13.43905,12.40088,67.32657,6.630114,10.94179,0.4612686,-0.236573,0.1904829,-0.06497227,0.1904829,1.056422,0.354135,64.19091,2.894609,10.93034,0.4317641,1.458894,0.2009097,-0.2829123,0.2009097,5.283379,1.356818,63.99036,1.138102,10.91627,0.475088,-0.2365529,0.1835485,-0.249534,0.1835485,3.186412,1.068152,63.81637,0.2018963,10.84975,0.4511646,0.2506177,0.1707052,-0.06952395,0.1707052,3.550941,1.072555,62.20892,3.077142,10.83175,0.4232,-0.2121757,0.1708118,-0.3952725,0.1708118,1.656284,1.026031,62.0835,1.205009,10.07852,0.337741,0.04475074,0.1215509,-0.3928666,0.1215509,2.704798,0.9860974,58.0668,0.8561223,1,0,1.010265,-38.09207,0,393.0873,7.859278,4.250807,300,1.05178,0.7143649
2582839462815885312,66.3913,1.977486,84.56766,5.378321,3.572234,1.574761,-3.432804,4.582913,7.507189,1.363196,0.2207708,0.665437,-1.031711,0.665437,5.340292,2.95755,84.81767,1.058079,7.534535,1.375451,0.2207708,0.665437,-1.031711,0.665437,6.144439,2.977334,84.81163,1.01199,8.082561,0.8099599,-1.154518,0.4639582,-0.4887322,0.4639582,7.014745,1.961066,81.39404,0.5568488,10.76676,0.8283007,1.304721,0.2649102,-0.6537093,0.2649102,9.920598,1.429351,76.19988,1.174612,11.08545,0.6319438,0.08185945,0.2431009,-0.9007143,0.2431009,13.58351,1.342241,71.45036,1.979159,11.48133,0.581636,-1.245361,0.280389,-0.3490784,0.280389,0.812087,1.47762,71.00648,1.362892,13.14435,0.4683895,0.299347,0.1791234,-2.060156,0.1791234,28.13156,1.253896,62.92881,1.107186,13.21402,0.5613291,-0.2740776,0.1758146,0.06119477,0.1758146,2.578432,1.258293,61.62732,2.999528,12.98541,0.5384831,0.3458475,0.1776864,-0.400268,0.1776864,7.071521,1.355635,60.99044,0.4161991,13.74667,0.4934724,-0.1592437,0.1496817,-0.1942574,0.1496817,2.780054,1.191946,64.90247,1.254201,13.02479,0.3457915,-0.1460965,0.1394406,-0.2305699,0.1394406,1.681506,1.099132,60.8053,1.07495,13.04951,0.699128,-1.158741,0.1740428,-0.9082788,0.1740428,11.69321,0.4945213,58.36463,2.017525,13.04501,0.7083958,-6.556991,0.1680502,-8.390838,0.1680502,108.1232,1.742782,58.23681,2.207932,13.02048,0.710741,-2.775663,0.1572623,-2.728117,0.1572623,35.26943,1.491589,58.14515,0.5844161,12.72069,0.4400874,-0.8529738,0.1420457,-0.9223285,0.1420457,12.44118,1.221909,56.81009,0.5847287,12.69675,0.377665,-0.414166,0.1376825,-0.3661594,0.1376825,6.987023,1.155037,56.677,1.169925,11.88167,0.3633334,0.2500656,0.1126757,0.05397163,0.1126757,-0.8647456,1.22646,53.37147,0.5473191,1,11.64632,3.511897,-55.50336,1.134612,19.77331,5.477118,1.235386,-32.68886,0.9003948,0.7235553
817523216481282048,134.6995,3.908505,130.5158,7.249511,15.02507,3.773657,13.10975,6.633728,9.473534,1.462489,-0.8833343,0.5504594,-2.629465,0.5504594,18.01981,3.753846,67.04233,1.360424,9.51738,1.465818,-0.8833343,0.5504594,-2.629465,0.5504594,10.77859,3.768958,66.96622,1.029037,10.35508,1.299997,-1.116282,0.4663545,-1.085319,0.4663545,3.309055,2.632635,64.48236,1.068899,14.84153,1.06622,0.9783028,0.2737385,-0.7188475,0.2737385,10.92818,2.484842,60.89391,0.9586204,16.23578,0.9445994,-0.9530956,0.2466208,-1.302063,0.2466208,19.17098,2.432994,57.87404,0.9268183,16.76113,0.9099832,-1.123257,0.2818455,0.3283452,0.2818455,-1.844796,2.358052,57.61831,0.7998776,20.29942,0.7316304,0.4175432,0.1864774,-1.852574,0.1864774,41.60979,2.586305,53.31687,2.888967,20.71925,0.8828425,-0.4977104,0.1912239,-0.09976223,0.1912239,6.154963,2.559456,52.74224,1.909523,20.4655,0.8938161,-0.7534356,0.3045783,-1.911836,0.3045783,34.46536,8.369296,52.77032,3.9062,22.76608,0.6499706,0.4385473,0.1411045,0.3443026,0.1411045,-1.581948,2.270809,62.46057,2.078929,21.48752,0.5673098,-0.04472555,0.1378144,0.04807531,0.1378144,0.8982745,2.101255,57.72683,0.5330845,22.0997,3.117545,-1.168721,0.1868482,-0.9149932,0.1868482,27.98771,1.203962,55.27301,2.821314,22.08952,3.026375,-6.953203,0.2116902,-8.624659,0.2116902,194.3429,4.485945,55.12179,5.37927,22.06222,3.07431,-3.957294,0.2121648,-3.92399,0.2121648,84.41739,3.631423,54.92777,1.071777,21.79592,0.9019558,-0.6035382,0.1608285,-0.7234122,0.1608285,17.95713,2.768433,53.76626,0.4972419,21.80253,0.8723372,-0.5114853,0.1439698,-0.4898975,0.1439698,11.66123,2.410939,53.62894,0.5390434,20.46701,0.9641199,0.306898,0.145349,0.2567734,0.145349,-6.29428,3.260998,50.67852,0.8408981,159.8256,29.16723,30.74553,68.93823,1.093916,1,221.9208,207.8957,48.40204,-0.0004538556,0.7743101
369468655689295872,1,0,500,0,27.27729,21.87492,-300,0,0,0,0,-1,0,-1,0,-0.7361741,0,0,0,0,0,-1,0,-1,0,-0.7361741,0,0,1.47541,1.145865,6.476422,3.293065,7.962363,3.293065,-15.04632,5.220527,80.46274,0.9119778,2.386672,1.041534,-1.981251,1.416983,-2.801359,1.416983,-3.455905,1.432247,77.83038,0.553921,2.560385,0.6398684,-2.013361,1.154291,-0.9922397,1.154291,1.524957,1.200146,74.95181,0.7098414,2.778049,0.6820873,-3.100362,1.391369,-2.454547,1.391369,4.919139,4.008185,74.33826,0.7767276,3.358728,0.5570759,0.2986175,0.7001451,-1.526875,0.7001451,2.131669,0.9742287,68.56602,2.004735,3.113896,0.6434999,-1.18627,0.7831935,-0.4870923,0.7831935,0.9890334,2.955556,67.29301,1.060096,3.055686,0.5227666,0.6557809,0.7537203,-0.7694835,0.7537203,4.81416,2.819335,66.71294,1.620115,3.558411,0.6826872,-0.8872454,0.8341119,-1.043202,0.8341119,-2.106372,1.321938,60.9748,0.3239646,3.59112,0.5204583,-1.040832,0.753383,-0.6573504,0.753383,-6.019672,3.393207,72.25482,1.973477,3.447409,0.4803008,1.466617,0.5457746,1.959276,0.5457746,-1.585289,0.8370206,71.43317,2.164775,3.433554,0.4656506,1.389412,0.5711957,0.096343,0.5711957,2.304193,0.9595931,71.36429,3.107876,3.459576,0.459544,-0.2897338,0.5535187,-0.07361903,0.5535187,-4.781596,2.524645,71.23968,1.850591,3.489293,0.3248684,-0.2576763,0.4571946,-0.6043613,0.4571946,6.284431,3.066916,70.74126,1.248398,3.466719,0.322374,0.8164471,0.4533504,0.7203481,0.4533504,-4.208949,2.998592,70.77441,1.500943,2.984459,0.3286547,-1.342285,0.3730981,-1.468616,0.3730981,16.03152,2.302454,68.62486,1.15351,1,0,1.041107,300,0,1,3.132109,1.025094,-179.5665,0.9602726,0.7361741
2367787903221786624,79.64408,1.510774,77.9926,3.005159,4.471042,1.380509,4.325615,2.566414,5.470349,1.173347,-17.17354,1.293508,-17.38802,1.293508,51.05158,4.284987,78.3642,1.206354,5.495099,1.183807,-17.17354,1.293508,-17.38802,1.293508,49.66021,4.435154,78.31689,1.237988,7.69597,1.158991,-2.635012,0.671146,-0.9441295,0.671146,6.822432,2.596033,75.772,0.2735334,8.537263,1.10687,2.827916,0.5001096,-1.754112,0.5001096,11.18983,2.199274,71.77709,0.6989372,8.208225,0.901913,0.6656417,0.4884398,-3.09122,0.4884398,26.99113,2.202028,67.95065,0.5921547,8.38261,0.8423537,-1.366459,0.5576651,-0.2476415,0.5576651,0.04197303,2.035689,67.59779,1.307933,8.714545,0.7342135,-2.49054,0.4342221,-6.485351,0.4342221,59.73558,2.382825,60.68704,2.587959,8.862221,0.9340907,-1.460065,0.4192277,-0.7250467,0.4192277,9.823814,2.096694,59.4956,0.5572209,8.786193,0.9548966,-3.613578,0.4490789,-3.740572,0.4490789,29.99376,2.282072,58.92431,1.661975,8.826101,0.6027399,-1.216519,0.3007755,-1.07335,0.3007755,6.260859,1.537811,62.66313,1.439577,8.473795,0.5121832,-0.7408324,0.3219771,-0.6854895,0.3219771,6.511938,1.69555,57.99839,0.6748101,8.344379,1.28418,-2.617321,0.3060823,-2.566375,0.3060823,24.4805,0.6838661,55.1162,0.6668674,8.324053,0.5069177,-26.7699,0.4446904,-29.265,0.4446904,242.2943,3.328282,54.96318,4.980754,8.319947,0.5733051,-9.052738,0.3343571,-8.962718,0.3343571,73.83885,2.062696,54.72605,0.8773245,8.301905,0.9126059,-4.970434,0.4601514,-4.797046,0.4601514,49.46939,4.322398,53.28637,0.4944691,8.281006,0.9203432,-4.84433,0.3848276,-4.681694,0.3848276,35.54051,1.993904,53.14176,0.5956416,8.00446,0.5128772,-0.3998419,0.2712055,-0.5845565,0.2712055,3.617439,1.904208,49.63366,0.9255856,73.74593,100.46,8.901416,-27.47933,1.044062,76.72032,30.01831,2.605983,13.11281,1.719311,0.7476558
2378037001984174080,54.77258,1.701602,64.68594,2.925764,-0.7552755,1.257844,0.167751,2.103837,5.657445,1.473844,-16.43179,1.16648,-17.03755,1.16648,40.19285,3.468827,68.8367,0.4691732,5.700335,1.499048,-16.43179,1.16648,-17.03755,1.16648,55.43052,3.482775,68.78503,0.410371,6.998138,1.209382,-2.127901,0.7614996,-0.6383181,0.7614996,3.800247,2.402433,66.13356,0.844005,8.476467,1.123356,2.542076,0.5502402,-0.6695023,0.5502402,11.74265,2.141534,62.37751,1.312627,8.297421,1.021942,1.304863,0.5198809,-1.127607,0.5198809,16.08353,2.12968,59.31865,1.710126,8.335447,1.039227,-1.24917,0.6077074,-0.3563228,0.6077074,1.285803,2.047059,59.07442,0.4609702,8.387825,0.7022139,-2.412862,0.4520742,-5.286915,0.4520742,49.29282,2.077805,55.08023,0.7646994,8.458972,1.021314,-1.895257,0.4535163,-1.143982,0.4535163,8.368718,1.898669,54.61298,1.663126,8.543811,0.9282437,-2.479162,0.4373939,-2.702052,0.4373939,23.78397,2.079286,54.41571,1.974238,8.071888,0.5313172,-0.9306577,0.3294274,-0.8678556,0.3294274,4.441825,1.396087,63.92754,0.9561151,7.507544,0.4816692,-1.60266,0.3115225,-1.353921,0.3115225,8.732919,1.385522,59.0173,0.8474111,7.540442,0.6494351,-3.739102,0.327156,-3.581223,0.327156,23.50176,0.6290857,56.11366,0.8983285,7.550618,0.6344654,-19.83773,0.4139424,-21.81104,0.4139424,166.1243,2.609088,55.94183,0.5129116,7.534401,0.6477972,-9.437681,0.3510027,-9.348296,0.3510027,70.88675,1.897465,55.70213,1.782259,7.442904,0.4284545,-1.404457,0.4039277,-1.289389,0.4039277,44.26154,16.79079,54.24349,0.8796114,7.444661,0.4106707,-4.3434,0.3966085,-4.352128,0.3966085,28.448,1.817921,54.09645,2.592943,6.89937,0.5727481,-0.6022214,0.279725,-0.7820224,0.279725,2.966629,1.545078,50.42949,1.545661,86.0105,98.6425,8.782942,-10.4953,0.3814439,76.93137,24.95416,2.467615,4.886733,1.679764,0.8424934
3180689576414963712,500,0,3.63542,479.9418,219.4637,122.1714,79.84464,13.86607,0,0,0,-1,0,-1,0,-0.7942161,0,0,0,0,0,-1,0,-1,0,-0.7942161,0,0,2.203784,1.635901,-8.125471,2.603478,-5.810044,2.603478,0.8750359,2.365348,81.55181,1.01832,2.789813,0.8787669,-1.850521,1.45529,-2.826084,1.45529,-14.88417,21.60249,0,1.420403,2.584059,0.7782463,-4.998965,1.095276,-5.141782,1.095276,17.55348,3.245888,73.34039,1.257179,2.671566,0.7759126,-3.066688,1.347833,-1.276579,1.347833,-1.96817,1.295761,73.0257,1.659533,3.187805,0.5014431,1.114433,0.6722822,-1.633019,0.6722822,6.265033,2.563933,65.70761,1.304274,3.009964,0.3900639,0.2996356,0.6876087,0.5352523,0.6876087,-0.6008034,0.8999822,64.43077,0.7509292,2.988661,0.3908108,1.206778,0.6646739,0.3545049,0.6646739,-0.7528279,0.8700823,63.7919,0.3675794,2.829988,0.445048,0.1682751,0.9035944,0.2936178,0.9035944,0.1191163,3.499915,60.03062,0.9657258,2.695383,0.3140106,-1.352579,0.6736853,-1.190347,0.6736853,180.4852,659.0963,65.67457,0,2.563626,0.2602836,-0.2107268,0.5535588,-0.1748068,0.5535588,-0.185445,0.2176618,62.87087,1.093526,2.56211,0.2594484,2.409562,0.5555899,0.4795249,0.5555899,1.771482,1.989549,62.80103,0.8479882,2.561816,0.2484808,-1.115119,0.5524484,-1.201765,0.5524484,-0.5593449,0.6565175,62.55929,0.4178624,2.50894,0.250057,-0.3697664,0.4822749,-0.57247,0.4822749,0.5720233,0.6088821,61.33874,1.458339,2.493172,0.1953582,-0.4782366,0.4887979,-0.5216121,0.4887979,0.91235,0.6289137,61.16863,0.2294482,2.327963,0.183974,-0.5844564,0.3718153,-0.7574251,0.3718153,0.8382506,0.6338292,57.56733,0.6728622,500,0,1.123191,219.4613,0,1,-0.6641153,0.8595104,119.0286,1.523964,0.7942161
854627336341972992,500,0,1,2154.12,65.61895,283.0977,15.18846,28.80411,4.379994,2.605521,-1.293397,2.308189,-4.266055,2.308189,2.326698,5.065577,91.00681,0.9588072,4.390168,2.423342,-1.293397,2.308189,-4.266055,2.308189,5.727891,4.597157,90.97261,1.236814,4.265804,1.651637,-3.686856,1.813307,-3.835188,1.813307,4.863951,3.600382,89.12868,1.805162,6.08303,1.463524,2.104355,0.9636842,1.135987,0.9636842,-8.086102,6.686963,86.21839,1.285277,5.64176,1.170011,-1.406124,0.9622298,0.3939785,0.9622298,-2.539635,6.194814,83.42994,1.592997,6.082601,1.329444,0.3398969,1.060767,2.293919,1.060767,2.970463,2.715563,83.1731,0.3682854,7.784168,0.9179753,2.22545,0.5852168,0.4049688,0.5852168,0.1299239,5.472354,78.18781,0.8824697,7.703434,0.7979171,0.01718517,0.5833255,0.5572261,0.5833255,-0.8013545,2.062867,77.34138,0.3921396,7.66076,0.812667,1.471715,0.5616288,0.5954978,0.5616288,-2.047105,2.050503,76.93723,1.243225,8.317056,0.8402207,-0.4280903,0.483043,-0.6003295,0.483043,10.92512,5.254691,83.62149,1.512813,7.823207,0.5795088,0.3761612,0.3864093,0.2341777,0.3864093,0.8253813,1.696224,77.29896,1.683136,7.744639,0.5106838,-0.2191581,0.3463838,-0.117784,0.3463838,0.3222235,0.4840049,73.41229,0.7041088,7.748844,0.5375354,2.291703,0.3923005,0.4190956,0.3923005,-1.499014,4.169552,73.2085,1.043309,7.738195,0.5544365,-0.007138665,0.3828359,-0.1765044,0.3828359,0.9719006,1.459869,72.89246,1.245054,7.428864,0.5150958,-0.5141999,0.3980423,-0.71642,0.3980423,3.467133,1.690762,70.95002,0.6823441,7.390685,0.5061889,0.136428,0.3776596,0.1539012,0.3776596,-2.368879,1.505925,70.751,0.5119871,6.950719,0.526499,0.3550468,0.3523495,-0.01198025,0.3523495,0.04786093,1.58758,65.25568,0.334693,378.9114,19.20133,39.47752,300,1.375871,1,-3.782224,2.037683,-208.408,0.7896901,0.762381
